Name,Description,Time
gengar,Found,12-09-2021 13:03:12
gengar-mega,Found,12-09-2021 13:03:13
geodude,Found,12-09-2021 13:03:13
geodude-alolan,Not Found,12-09-2021 13:03:14
gible,Found,12-09-2021 13:03:14
gigalith,Found,12-09-2021 13:03:15
girafarig,Found,12-09-2021 13:03:17
giratina-altered,Found,12-09-2021 13:03:17
giratina-origin,Found,12-09-2021 13:03:17
glaceon,Found,12-09-2021 13:03:17
glalie,Found,12-09-2021 13:03:18
glalie-mega,Found,12-09-2021 13:03:19
glameow,Found,12-09-2021 13:03:20
glastrier,Found,12-09-2021 13:03:20
gligar,Found,12-09-2021 13:03:20
gliscor,Found,12-09-2021 13:03:21
gloom,Found,12-09-2021 13:03:21
gogoat,Found,12-09-2021 13:03:21
golbat,Found,12-09-2021 13:03:21
goldeen,Found,12-09-2021 13:03:21
golduck,Found,12-09-2021 13:03:21
golem,Found,12-09-2021 13:03:22
golem-alolan,Not Found,12-09-2021 13:03:24
golett,Found,12-09-2021 13:03:25
golisopod,Found,12-09-2021 13:03:25
golurk,Found,12-09-2021 13:03:26
goodra,Found,12-09-2021 13:03:26
goomy,Found,12-09-2021 13:03:27
gorebyss,Found,12-09-2021 13:03:27
gossifleur,Found,12-09-2021 13:03:27
gothita,Found,12-09-2021 13:03:28
gothitelle,Found,12-09-2021 13:03:29
gothorita,Found,12-09-2021 13:03:29
gourgeist,Not Found,12-09-2021 13:03:31
granbull,Found,12-09-2021 13:03:31
grapploct,Found,12-09-2021 13:03:31
graveler,Found,12-09-2021 13:03:31
graveler-alolan,Not Found,12-09-2021 13:03:33
greedent,Found,12-09-2021 13:03:34
greninja,Found,12-09-2021 13:03:35
greninja-ash,Found,12-09-2021 13:03:35
grimer,Found,12-09-2021 13:03:36
grimer-alolan,Not Found,12-09-2021 13:03:37
grimmsnarl,Found,12-09-2021 13:03:37
grookey,Found,12-09-2021 13:03:37
grotle,Found,12-09-2021 13:03:37
groudon,Found,12-09-2021 13:03:38
groudon-primal,Found,12-09-2021 13:03:38
grovyle,Found,12-09-2021 13:03:38
growlithe,Found,12-09-2021 13:03:38
grubbin,Found,12-09-2021 13:03:39
grumpig,Found,12-09-2021 13:03:40
gulpin,Found,12-09-2021 13:03:42
gumshoos,Found,12-09-2021 13:03:43
gurdurr,Found,12-09-2021 13:03:44
guzzlord,Found,12-09-2021 13:03:45
gyarados,Found,12-09-2021 13:03:46
gyarados-mega,Found,12-09-2021 13:03:46
hakamo-o,Found,12-09-2021 13:03:46
happiny,Found,12-09-2021 13:03:47
hariyama,Found,12-09-2021 13:03:47
hatenna,Found,12-09-2021 13:03:47
hatterene,Found,12-09-2021 13:03:47
hattrem,Found,12-09-2021 13:03:47
haunter,Found,12-09-2021 13:03:48
hawlucha,Found,12-09-2021 13:03:49
haxorus,Found,12-09-2021 13:03:49
heatmor,Found,12-09-2021 13:03:50
heatran,Found,12-09-2021 13:03:50
heliolisk,Found,12-09-2021 13:03:50
helioptile,Found,12-09-2021 13:03:50
heracross,Found,12-09-2021 13:03:51
heracross-mega,Found,12-09-2021 13:03:52
herdier,Found,12-09-2021 13:03:52
hippopotas,Found,12-09-2021 13:03:53
hippowdon,Found,12-09-2021 13:03:54
hitmonchan,Found,12-09-2021 13:03:54
hitmonlee,Found,12-09-2021 13:03:54
hitmontop,Found,12-09-2021 13:03:54
honchkrow,Found,12-09-2021 13:03:54
honedge,Found,12-09-2021 13:03:54
ho-oh,Found,12-09-2021 13:03:54
hoopa-confined,Not Found,12-09-2021 13:03:57
hoopa-unbound,Found,12-09-2021 13:03:57
hoothoot,Found,12-09-2021 13:03:58
hoppip,Found,12-09-2021 13:03:59
horsea,Found,12-09-2021 13:04:00
houndoom,Found,12-09-2021 13:04:00
houndoom-mega,Found,12-09-2021 13:04:01
houndour,Found,12-09-2021 13:04:02
huntail,Found,12-09-2021 13:04:03
hydreigon,Found,12-09-2021 13:04:04
hypno,Found,12-09-2021 13:04:04
igglybuff,Found,12-09-2021 13:04:05
illumise,Found,12-09-2021 13:04:06
impidimp,Found,12-09-2021 13:04:06
incineroar,Found,12-09-2021 13:04:07
indeedee-female,Found,12-09-2021 13:04:07
indeedee-male,Found,12-09-2021 13:04:07
infernape,Found,12-09-2021 13:04:08
inkay,Found,12-09-2021 13:04:08
inteleon,Found,12-09-2021 13:04:09
ivysaur,Found,12-09-2021 13:04:09
jangmo-o,Found,12-09-2021 13:04:09
jellicent,Found,12-09-2021 13:04:09
jigglypuff,Found,12-09-2021 13:04:10
jirachi,Found,12-09-2021 13:04:11
jolteon,Found,12-09-2021 13:04:12
joltik,Found,12-09-2021 13:04:12
jumpluff,Found,12-09-2021 13:04:13
jynx,Found,12-09-2021 13:04:13
kabuto,Found,12-09-2021 13:04:13
kabutops,Found,12-09-2021 13:04:13
kadabra,Found,12-09-2021 13:04:13
kakuna,Found,12-09-2021 13:04:13
kangaskhan,Found,12-09-2021 13:04:13
kangaskhan-mega,Found,12-09-2021 13:04:13
karrablast,Found,12-09-2021 13:04:14
kartana,Found,12-09-2021 13:04:14
kecleon,Found,12-09-2021 13:04:15
keldeo-ordinary,Found,12-09-2021 13:04:17
keldeo-resolute,Found,12-09-2021 13:04:18
kingdra,Found,12-09-2021 13:04:18
kingler,Found,12-09-2021 13:04:20
kirlia,Found,12-09-2021 13:04:22
klang,Found,12-09-2021 13:04:23
klefki,Found,12-09-2021 13:04:24
klink,Found,12-09-2021 13:04:25
klinklang,Found,12-09-2021 13:04:25
koffing,Found,12-09-2021 13:04:25
komala,Found,12-09-2021 13:04:26
kommo-o,Found,12-09-2021 13:04:27
krabby,Found,12-09-2021 13:04:27
kricketot,Found,12-09-2021 13:04:28
kricketune,Found,12-09-2021 13:04:28
krokorok,Found,12-09-2021 13:04:29
krookodile,Found,12-09-2021 13:04:29
kubfu,Found,12-09-2021 13:04:29
kyogre,Found,12-09-2021 13:04:29
kyogre-primal,Found,12-09-2021 13:04:29
kyurem,Found,12-09-2021 13:04:30
kyurem-black,Found,12-09-2021 13:04:31
kyurem-white,Found,12-09-2021 13:04:32
lairon,Found,12-09-2021 13:04:33
lampent,Found,12-09-2021 13:04:33
landorus-incarnate,Found,12-09-2021 13:04:33
landorus-therian,Found,12-09-2021 13:04:34
lanturn,Found,12-09-2021 13:04:34
lapras,Found,12-09-2021 13:04:35
larvesta,Found,12-09-2021 13:04:35
larvitar,Found,12-09-2021 13:04:36
latias,Found,12-09-2021 13:04:37
latias-mega,Found,12-09-2021 13:04:37
